SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST;GEM. CIJFER REKENTOETS
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0131;ak;aardrijkskunde;;0;0;29;6,4;29;6,4;29;6,2;29;6,2;6,3;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0161;in;informatica;;0;0;2;6,7;0;,0;0;,0;0;,0;7,0;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0251;m&o;management en organisatie;;0;0;20;5,6;20;5,6;20;5,9;20;5,9;5,8;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);G;67;67;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;0353;lo;lichamelijke opvoeding (gemeenschappelijk deel);V;20;20;0;,0;0;,0;0;,0;0;,0;,0;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1001;netl;Nederlandse taal en literatuur;;0;0;90;6,3;90;6,3;90;5,9;90;5,9;6,1;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1002;entl;Engelse taal en literatuur;;0;0;89;6,6;89;6,6;89;6,5;89;6,5;6,6;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1003;fatl;Franse taal en literatuur;;0;0;35;6,4;35;6,4;35;6,4;35;6,4;6,5;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1004;dutl;Duitse taal en literatuur;;0;0;43;6,4;43;6,4;43;6,0;43;6,0;6,3;,0
2014;00AQ;00;Zwin College SGM;1714;SLUIS;OOSTBURG;Zeeland;HAVO;1018;biol;biologie;;0;0;45;6,1;45;6,1;45;5,8;45;5,8;6,1;,0
